,County,Total_Pop_byAge,Age_55_64,Age65plus,Age55plus,%ab55
1,Albany,307117,40047,52316,92363,30.07420625
2,Allegany,46430,6605,9045,15650,33.70665518
3,Bronx,1432132,160325,183165,343490,23.98452098
4,Broome,191659,27330,36793,64123,33.45681653
5,Cattaraugus,76840,11571,14641,26212,34.11244144
6,Cayuga,77145,11930,14322,26252,34.02942511
7,Chautauqua,127939,19913,25587,45500,35.56382338
8,Chemung,84254,12764,16613,29377,34.86718731
9,Chenango,47536,7451,9993,17444,36.69639852
10,Clinton,80695,11857,13523,25380,31.45176281
11,Columbia,59916,10340,14017,24357,40.65191268
12,Cortland,47823,6154,7797,13951,29.17215566
13,Delaware,44527,7631,10936,18567,41.69829542
14,Dutchess,293718,44596,51573,96169,32.74194976
15,Erie,919719,132500,165216,297716,32.3703218
16,Essex,37300,6337,8764,15101,40.48525469
17,Franklin,50293,7385,8446,15831,31.47754161
18,Fulton,53591,8193,10441,18634,34.77076375
19,Genesee,57511,8842,10604,19446,33.81266193
20,Greene,47491,7367,10983,18350,38.6389
21,Herkimer,61833,9408,12850,22258,35.99695955
22,Jefferson,111755,12359,15458,27817,24.89105633
23,Brooklyn,2582830,288349,358797,647146,25.05569472
24,Lewis,26447,4198,5174,9372,35.43691156
25,Livingston,63227,9700,11117,20817,32.92422541
26,Madison,70795,10986,13087,24073,34.00381383
27,Monroe,742474,102633,128110,230743,31.07758656
28,Montgomery,49455,6906,9278,16184,32.72469922
29,Nassau,1358343,194864,241330,436194,32.11221319
30,Manhattan,1628701,184681,268834,453515,27.84519688
31,Niagara,210433,33885,39813,73698,35.02207353
32,Oneida,229577,32771,42555,75326,32.81077808
33,Onondaga,461809,64962,78867,143829,31.14469402
34,Ontario,109864,16627,21645,38272,34.83579699
35,Orange,381951,48657,53391,102048,26.71756325
36,Orleans,40612,6553,7099,13652,33.61568009
37,Oswego,117898,17314,19449,36763,31.18203871
38,Otsego,59749,8722,12628,21350,35.73281561
39,Putnam,98892,15626,17094,32720,33.08659952
40,Queens,2278906,301033,357630,658663,28.90259625
41,Rensselaer,159442,23000,26557,49557,31.08152181
42,Richmond,476179,65823,77054,142877,30.00489312
43,Rockland,325695,39494,51109,90603,27.81835767
44,Saratoga,230163,33205,40850,74055,32.17502379
45,Schenectady,155350,21214,26852,48066,30.94045703
46,Schoharie,31097,4895,6888,11783,37.8911149
47,Seneca,34300,5424,6695,12119,35.33236152
48,St. Lawrence,108047,14986,18468,33454,30.96245153
49,Steuben,95796,14619,18663,33282,34.74257798
50,Suffolk,1481093,215447,250082,465529,31.43144961
51,Sullivan,75498,11198,14198,25396,33.63797716
52,Tioga,48560,8160,9834,17994,37.05518946
53,Tompkins,102793,11403,14209,25612,24.91609351
54,Ulster,178599,27431,35125,62556,35.02595199
55,Warren,64265,10675,14361,25036,38.95744184
56,Washington,61197,9558,11718,21276,34.76641012
57,Wayne,90064,14533,17292,31825,35.3359833
58,Westchester,967612,132273,165337,297610,30.757163
59,Wyoming,40085,5898,7307,13205,32.94249719
60,Yates,24841,3780,5173,8953,36.04122217
61,Hamilton,4434,929,1319,2248,50.69914299
62,Schuyler,"18,343",2746,2785,5531,30.15319195
